Date,Home Team,Score,Away Team
24-01-2024,Gaziantep BBK,1 - 1,Konyaspor
29-01-2024,Galatasaray,2 - 1,Gaziantep BBK
03-02-2024,Gaziantep BBK,1 - 1,Kayserispor
11-02-2024,İstanbulspor,1 - 3,Gaziantep BBK
18-02-2024,Gaziantep BBK,1 - 1,Samsunspor
24-02-2024,Gaziantep BBK,0 - 2,Buyuksehyr
04-03-2024,Antalyaspor,1 - 0,Gaziantep BBK
11-03-2024,Gaziantep BBK,2 - 0,Besiktas
17-03-2024,Rizespor,3 - 1,Gaziantep BBK
02-04-2024,Gaziantep BBK,0 - 3,Alanyaspor
13-04-2024,Ankaragucu,3 - 1,Gaziantep BBK
21-04-2024,Gaziantep BBK,2 - 0,Kasimpasa
28-04-2024,Trabzonspor,4 - 2,Gaziantep BBK
05-05-2024,Gaziantep BBK,1 - 1,Hatayspor
12-05-2024,Adana Demirspor,1 - 6,Gaziantep BBK
18-05-2024,Gaziantep BBK,3 - 1,Fatih Karagümrük
26-05-2024,Pendikspor,0 - 1,Gaziantep BBK
12-08-2023,Pendikspor,1 - 5,Hatayspor
19-08-2023,Hatayspor,0 - 0,Kasimpasa
27-08-2023,Alanyaspor,0 - 0,Hatayspor
03-09-2023,Hatayspor,3 - 3,Adana Demirspor
18-09-2023,Fatih Karagümrük,0 - 0,Hatayspor
25-09-2023,Hatayspor,3 - 2,Trabzonspor
30-09-2023,Sivasspor,0 - 0,Hatayspor
08-10-2023,Hatayspor,3 - 1,Konyaspor
22-10-2023,Fenerbahce,4 - 2,Hatayspor
27-10-2023,Hatayspor,1 - 2,Kayserispor
04-11-2023,Samsunspor,2 - 1,Hatayspor
11-11-2023,Hatayspor,2 - 1,Galatasaray
25-11-2023,İstanbulspor,2 - 1,Hatayspor
01-12-2023,Hatayspor,3 - 3,Antalyaspor
10-12-2023,Buyuksehyr,1 - 0,Hatayspor
21-12-2023,Ankaragucu,0 - 0,Hatayspor
25-12-2023,Hatayspor,1 - 2,Besiktas
06-01-2024,Rizespor,2 - 0,Hatayspor
10-01-2024,Hatayspor,0 - 0,Gaziantep BBK
13-01-2024,Hatayspor,1 - 1,Pendikspor
20-01-2024,Kasimpasa,3 - 0,Hatayspor
23-01-2024,Hatayspor,1 - 1,Alanyaspor
27-01-2024,Adana Demirspor,0 - 1,Hatayspor
02-02-2024,Hatayspor,3 - 1,Fatih Karagümrük
12-02-2024,Trabzonspor,2 - 0,Hatayspor
17-02-2024,Hatayspor,1 - 1,Sivasspor
24-02-2024,Konyaspor,2 - 0,Hatayspor
02-03-2024,Hatayspor,0 - 2,Fenerbahce
10-03-2024,Kayserispor,1 - 1,Hatayspor
17-03-2024,Hatayspor,3 - 0,Samsunspor
02-04-2024,Galatasaray,1 - 0,Hatayspor
14-04-2024,Hatayspor,0 - 3,İstanbulspor
21-04-2024,Antalyaspor,2 - 1,Hatayspor
27-04-2024,Hatayspor,1 - 2,Buyuksehyr
05-05-2024,Gaziantep BBK,1 - 1,Hatayspor
12-05-2024,Hatayspor,2 - 1,Ankaragucu
18-05-2024,Besiktas,2 - 2,Hatayspor
26-05-2024,Hatayspor,2 - 0,Rizespor
12-08-2023,Kasimpasa,3 - 2,Ankaragucu
19-08-2023,Hatayspor,0 - 0,Kasimpasa
26-08-2023,Kasimpasa,1 - 1,Pendikspor
01-09-2023,Kasimpasa,1 - 5,Trabzonspor
17-09-2023,Alanyaspor,3 - 3,Kasimpasa
24-09-2023,Kasimpasa,2 - 1,Adana Demirspor
01-10-2023,Fatih Karagümrük,2 - 3,Kasimpasa
08-10-2023,Kasimpasa,0 - 2,Fenerbahce
